user_id,session_id,timestamp,feature_name,event_type,device_type,Place
1,01JWA8EE4N6776XCVHAXTAMDQ5,2/17/2025,Checkout,drop,Desktop,Japan
2,01JWA8EE5NM3ECY0TGJNT554P0,02/05/2025,Cart,complete,Mobile,United States
3,01JWA8EE5QXXNJCG6VC0GPY2H9,12/18/2024,Search,drop,Mobile,United States
4,01JWA8EE5SE4QA4TSS4BMTZDZB,11/14/2024,Dashboard,start,Mobile,Russia
5,01JWA8EE5VW4JRJTP4MYQNBF7N,10/13/2024,Checkout,click,Desktop,United States
6,01JWA8EE5W27W06F77Q7RV98RE,8/24/2024,Checkout,start,Mobile,Japan
7,01JWA8EE5ZG23WZ4Z9GJRHQCDA,10/22/2024,Checkout,click,Desktop,Russia
8,01JWA8EE60EA7F7B0M0WA8Q2FK,3/20/2025,Cart,complete,Desktop,United States
9,01JWA8EE61VT2MVDTDZN2JSXJ7,6/15/2024,Cart,drop,Mobile,Japan
10,01JWA8EE63NTZBC5MAZK03JEMK,8/19/2024,Cart,complete,Mobile,Japan
11,01JWA8EE65H7Z4G1X2YK5296C8,5/19/2025,Checkout,drop,Desktop,Netherlands
12,01JWA8EE6732JQ0067PEQNFKHW,9/29/2024,Cart,start,Mobile,Russia
13,01JWA8EE69FTHYAEZ2K521T9J5,7/19/2024,Cart,click,Mobile,Russia
14,01JWA8EE6C57GW8976FN4RCP85,09/05/2024,Login,complete,Desktop,United States
15,01JWA8EE6FBSPEK728DP3TMW5Y,2/24/2025,Cart,drop,Desktop,Russia
16,01JWA8EE6H856YQT3Z8KK6SSP8,3/27/2025,Search,click,Mobile,Russia
17,01JWA8EE6K90D3MYCQBAGJVX6N,7/18/2024,Dashboard,drop,Mobile,United States
18,01JWA8EE6MWXVRN54AP778RA46,9/18/2024,Search,drop,Desktop,Canada
19,01JWA8EE6N5F2PAM45FFS69T2A,10/19/2024,Login,drop,Mobile,Russia
20,01JWA8EE6QGSGEDG1S7CCRCPS7,6/21/2024,Search,complete,Desktop,Russia
21,01JWA8EE6RTG7CZ3V7S1Q0H4KC,8/13/2024,Checkout,start,Mobile,Canada
22,01JWA8EE6SAK88FFA7ATW8CYZ3,12/27/2024,Search,complete,Mobile,Japan
23,01JWA8EE6TPAVQPFG9HEASZT6H,03/11/2025,Cart,start,Desktop,Russia
24,01JWA8EE6V268Y56M12043HG0X,10/25/2024,Checkout,start,Mobile,Russia
25,01JWA8EE6X7CXYCZGHD8MHZNPC,9/28/2024,Checkout,complete,Desktop,Japan
26,01JWA8EE6Z1EWRTP1R7SEKK6CF,1/14/2025,Search,drop,Desktop,United States
27,01JWA8EE71VKY9YDPTJM12W56Z,10/06/2024,Checkout,complete,Mobile,Russia
